FIRSTNAME,LASTNAME,EMAIL ID,COMPANY NAME,INVITED BY,STATUS,INVITED DATE AND TIME
,,cmrinvite721@gmail.com,PartnerAuto,partnerautomate@gmail.com,INVITED,09-03-2025 15:50
,,cmrinvite56@gmail.com,PartnerAuto,partnerautomate@gmail.com,INVITED,09-03-2025 15:42
,,cmrinvite374@gmail.com,PartnerAuto,partnerautomate@gmail.com,INVITED,07-03-2025 14:46
,,cmrinvite945@gmail.com,PartnerAuto,partnerautomate@gmail.com,INVITED,07-03-2025 13:07
,,cmrinvite26@gmail.com,PartnerAuto,partnerautomate@gmail.com,INVITED,07-03-2025 12:57
,,cmrinvite532@gmail.com,PartnerAuto,partnerautomate@gmail.com,INVITED,07-03-2025 12:52
,,cmrinvite481@gmail.com,PartnerAuto,partnerautomate@gmail.com,INVITED,07-03-2025 12:46
,,cmrinvite615@gmail.com,PartnerAuto,partnerautomate@gmail.com,INVITED,07-03-2025 12:18
,,cmrinvite590@gmail.com,PartnerAuto,partnerautomate@gmail.com,INVITED,07-03-2025 12:15
,,cmrinvite59@gmail.com,PartnerAuto,partnerautomate@gmail.com,INVITED,07-03-2025 12:10
,,cmrinvite617@gmail.com,PartnerAuto,partnerautomate@gmail.com,INVITED,07-03-2025 11:13
